Unnamed: 0,gu,x_longitude,y_latitude
0,중구,128.603541305001,35.864931923605
1,중구,128.598618817407,35.86766529858821
2,중구,128.59677637695,35.86951817476071
3,중구,128.606281631531,35.8596660060074
4,중구,128.597134106894,35.866715805831
5,중구,128.591668518721,35.8694675352366
6,중구,128.591151275623,35.8672907493296
7,중구,128.592256267848,35.867621914827396
8,중구,128.58914185971202,35.8570477785034
9,중구,128.591668765782,35.8648163844922
10,중구,128.591711873997,35.8692685240211
11,중구,128.590901082348,35.867300034349604
12,중구,128.588631942371,35.8644466789652
13,중구,128.595689502824,35.865773111417205
14,중구,128.58469017295602,35.870381401170505
15,중구,128.58607515201,35.8697316623514
16,중구,128.589423224894,35.8651190054235
17,중구,128.612450307436,35.8690260876745
18,중구,128.589057336594,35.8683703992469
19,중구,128.589346208876,35.8668907940364
20,중구,128.591106457042,35.8674918509686
21,중구,128.609920282003,35.8644599782439
22,중구,128.60648032201598,35.8607792019494
23,중구,128.581721680691,35.872246328202706
24,중구,128.589282414102,35.8657372494845
25,중구,128.586168987104,35.8568395412668
26,중구,128.584566390713,35.8702494216085
27,중구,128.597696437488,35.8683490579722
28,중구,128.604755650213,35.870317054126204
29,중구,128.607074017615,35.8658394108065
30,중구,128.578516410821,35.8607435235551
31,중구,128.599683690626,35.8691728931205
32,중구,128.60767017338,35.8641406281031
33,중구,128.60886271773,35.8689874743142
34,중구,128.594753756697,35.873622436625
35,중구,128.593068344932,35.8723063853522
36,중구,128.586715356751,35.8689412786118
37,중구,128.60806771232902,35.864660528795
38,중구,128.596877579141,35.8638321976108
39,중구,128.593153804222,35.8670889420855
40,중구,128.598811969351,35.8616664462246
41,중구,128.59633768813802,35.8698808105979
42,중구,128.589596105141,35.8666059655586
43,중구,128.603485537866,35.8647033775735
44,중구,128.590982883159,35.870394681704
45,중구,128.596341909882,35.873617623159795
46,중구,128.591860266558,35.8686359299165
47,중구,128.596018372006,35.864992646518395
48,중구,128.59749580031098,35.873044580602
49,중구,128.604591440966,35.8612331631912
50,중구,128.59706768636602,35.8645170035809
51,중구,128.59670080261998,35.864382169996205
52,중구,128.58087265515,35.85746071007929
53,중구,128.586552300107,35.8689165708186
54,중구,128.605987808329,35.8618553902649
55,중구,128.590235307129,35.8687812775474
56,중구,128.605366038313,35.8620030563618
57,중구,128.60224254081,35.8713135282701
58,중구,128.60852976750098,35.8656441857893
59,중구,128.594866727423,35.866434909435796
60,중구,128.58652499027,35.8724519547476
61,중구,128.592341911396,35.8668516305548
62,중구,128.600037895615,35.8703322638198
63,중구,128.596950833778,35.8660276579609
64,중구,128.605313517638,35.8719822099356
65,중구,128.593182351084,35.869683144221
66,중구,128.597891021889,35.8665271733585
67,중구,128.589303691966,35.8688477017344
68,중구,128.603915387095,35.8704185267165
69,중구,128.602282215834,35.8661868465724
70,중구,128.599736566307,35.868827446372
71,중구,128.593435483923,35.8683351332233
72,중구,128.596607247631,35.8691853810499
73,중구,128.606925450832,35.861851291132496
74,중구,128.606054657139,35.8622596129921
75,중구,128.59807069809798,35.8666628047796
76,중구,128.59217386374598,35.8697876194868
77,중구,128.592264975441,35.869927498062296
78,중구,128.59248418471,35.869804595091296
79,중구,128.601254371809,35.85844984610689
80,중구,128.592482156374,35.8675627490707
81,중구,128.58746272717,35.8670865124745
82,중구,128.603171387057,35.866160185254394
83,중구,128.583636001471,35.865651280602606
84,중구,128.596667678708,35.8641875023448
85,중구,128.593068344932,35.8723063853522
86,중구,128.592323148643,35.869583937541705
87,중구,128.59075084561198,35.8752324861145
88,중구,128.579156076683,35.8681294179932
89,중구,128.599143256369,35.8680981771263
90,중구,128.589732031442,35.8648851059239
91,중구,128.593633538012,35.8737975276465
92,중구,128.59399765548798,35.8682900011723
93,중구,128.598318308484,35.866472450378104
94,중구,128.5945620863,35.864084368800704
95,중구,128.607012072724,35.868504038591105
96,중구,128.606146701689,35.8621559379135
97,중구,128.599016046324,35.8677903008739
98,중구,128.583847109514,35.8703825636794
99,중구,128.595614515234,35.873358194998104
100,중구,128.596284336441,35.8680324038225
101,중구,128.59604622678802,35.866211893838205
102,중구,128.59640912701,35.87007787758129
103,중구,128.593842444298,35.8664557048342
104,중구,128.595523681365,35.8720593736055
105,중구,128.59495658224301,35.8656702073933
106,중구,128.592550573422,35.8666705192138
107,중구,128.589691319222,35.8675577704104
108,중구,128.588597078734,35.868183614596
109,중구,128.592636704576,35.8680324878071
110,중구,128.603247960284,35.8646613678681
111,중구,128.594105844957,35.8667183865182
112,중구,128.58684989556698,35.8720916850754
113,중구,128.59908684978998,35.871006536052
114,중구,128.581746156155,35.8720411905778
115,중구,128.587729367785,35.8728491379373
116,중구,128.58968798533502,35.86103453054
117,중구,128.597558612917,35.8713832015595
118,중구,128.596336469887,35.8745453333789
119,중구,128.586841585737,35.872335838348896
120,중구,128.59709420927,35.8655377941162
121,중구,128.59387960038,35.8738618074517
122,중구,128.5895773061,35.8697790207462
123,중구,128.592829196249,35.8681707188734
124,중구,128.590733625378,35.8686754190639
125,중구,128.592046190595,35.868037928479
126,중구,128.589685505919,35.86804361059671
127,중구,128.594727121117,35.8693894361543
128,중구,128.59618947783702,35.8690899337481
129,중구,128.597465753155,35.868365862259104
130,중구,128.59269862524098,35.8682388178846
131,중구,128.594771704757,35.868949028588204
132,중구,128.589921845415,35.861619695809395
133,중구,128.58983743909099,35.8615261567618
134,중구,128.604733001893,35.8707032221456
135,중구,128.605079832911,35.8712053658845
136,중구,128.604772447013,35.870773404000104
137,중구,128.60483242070802,35.8710904722977
