x_longitude,y_latitude
128.4907428,35.89011566
128.6443895,35.77703924
128.4961929,35.80515038
128.4614653,35.69294902
128.4901581,35.7983545
128.4406705,35.78188535
128.4037679,35.76448255
128.4435391,35.69138467
128.4045646,35.76459461
128.4930481,35.79900834
128.4645993,35.85930443
128.4748432,35.87372683
128.475267,35.87372747
128.6550694,35.7253429
128.6812793,35.73014931
128.4207574,35.77417609
128.4705124,35.78931063
128.4652877,35.84397184
128.4600684,35.6932128
128.4419865,35.78830005
128.4557503,35.86028014
128.4385595,35.69370164
128.4966623,35.87588767
128.4417468,35.78207836
128.4685252,35.63953233
128.6543062,35.72464977
128.6300301,35.78934807
128.4305168,35.77909109
128.4942322,35.8013629
128.4939953,35.80477287
128.4971436,35.87214735
128.6356583,35.78898105
128.4778645,35.69914273
128.6417011,35.72249214
128.6394123,35.72144217
128.4368092,35.87440779
128.6348171,35.78903846
128.6361936,35.78944915
128.437874,35.86368747
128.4425962,35.69197104
128.4953031,35.80507706
128.4404163,35.89958574
128.5578523,35.75142625
128.4906599,35.79813585
128.4921349,35.79874732
128.4422732,35.85920553
128.4438612,35.86803244
128.4410192,35.86602844
128.4465267,35.86707934
128.4467122,35.86728994
128.4463102,35.86656627
128.445897,35.86708776
128.4637729,35.84238514
128.4632654,35.84261873
128.462829,35.84261267
128.499233,35.80206649
128.5059161,35.75347321
128.397877,35.88105894
128.4507006,35.73065008
128.4307408,35.8516379
128.6228109,35.79957809
128.6597318,35.73588216
128.6505388,35.78288298
128.487828,35.74628598
128.397952,35.8815287
128.4610714,35.8579276
128.4844048,35.88687873
128.6597017,35.73353186
128.6207641,35.7259229
128.4972801,35.86993987
128.6590152,35.73294651
128.4334684,35.64832556
128.4847824,35.69801437
128.4443295,35.6945717
128.4415644,35.72955744
128.4003552,35.76188311
128.438153,35.72789121
128.4885565,35.74674513
128.4924949,35.76200332
128.4950551,35.73865338
128.4187489,35.87901374
128.4457074,35.8673923
128.4412657,35.85884604
128.4431252,35.86372014
128.4963048,35.88743256
128.6376306,35.75313303
128.6816716,35.72801668
128.6462146,35.71949224
128.6327151,35.75300143
128.6556916,35.77890312
