x_longitude,y_latitude
128.6457937,35.94302498
128.6489346,35.88317265
128.6253016,35.86992967
128.6399154,35.92210819
128.6188767,35.88242221
128.6200672,35.88280568
128.6194744,35.88261943
128.7264381,35.87801809
128.6531586,35.88015764
128.6829438,35.87572639
128.6192175,35.88277979
128.6188767,35.88242221
128.6195618,35.88280326
128.6191328,35.8826689
128.6193175,35.88255849
128.6177942,35.88318459
128.6177942,35.88318459
128.6189941,35.88269389
128.6189138,35.88285257
128.6194744,35.88261943
128.6193175,35.88255849
128.6187194,35.88265227
128.6193559,35.88274912
128.6195618,35.88280326
128.6198151,35.88247897
128.6191319,35.88236675
128.6156755,35.8807584
128.7329278,35.87036324
128.7014955,35.86358976
128.6505359,35.88852427
128.6516531,35.88156466
128.650106,35.88018922
128.7488715,35.87449905
128.6482567,35.88257367
128.7305088,35.87940535
128.6147885,35.99093438
128.6369221,35.92233178
128.6267018,35.87205142
128.623256,35.9841936
128.6371297,35.92156262
128.6362597,35.92231479
128.7241301,35.86968934
128.619642,35.8811367
128.6163568,35.88767196
128.6302993,35.90035364
128.7141862,35.87614976
128.6410694,35.87699798
128.6973877,35.99148753
128.6118709,35.88110579
128.6114124,35.8789102
128.613311,35.99278368
128.639048,35.99114453
128.629808,35.97663295
128.629808,35.97663295
128.6311059,35.87851559
128.6371297,35.92156262
128.6371744,35.87299621
128.6923208,35.95696553
128.7315882,35.87022913
128.6491798,35.88141594
128.64824,35.88169192
128.7178822,35.87913373
128.6160973,35.88108864
128.6776891,35.87487054
128.6261411,35.86777741
128.6267976,35.88459609
128.6187356,35.87195759
128.667546,35.87497603
128.6544823,35.88656599
128.6400444,35.91354017
128.6413157,35.9100191
128.6411526,35.90871051
128.6544215,35.8801288
128.6201717,35.88258311
128.7253879,35.86917186
128.6748047,35.87794146
128.6368893,35.89852226
128.6350933,35.98495948
128.6936691,35.98959671
128.6933265,35.98981222
128.6920133,35.86655952
128.7243877,35.87119316
128.7288563,35.87147781
128.6514386,35.8810052
128.6506978,35.88082345
128.6319472,35.88358224
128.6977581,35.99123002
128.7253879,35.86917186
128.7228324,35.86515789
128.6444044,35.92212068
128.6897306,35.8633382
128.6792384,35.87480827
128.6792384,35.87480827
128.7266406,35.9713203
128.6164345,35.99077687
128.6206179,35.98446768
128.6409127,35.87622038
128.6646615,35.87518109
128.6200089,35.98767913
128.6210862,35.98526086
128.6709415,35.87920696
128.6168794,35.87528208
128.6372862,35.89487345
128.6625876,35.91909062
128.6200491,35.98409878
128.627936,35.86930131
128.6278645,35.86792226
128.6396995,35.87582219
128.6198374,35.88276772
128.6357091,35.98364928
128.6292028,35.87191786
128.630724,35.88329577
128.6403183,35.88793495
128.6228322,35.98510212
128.7089587,35.86910571
128.6133591,35.88038005
128.6698623,35.88044833
128.7265461,35.97093824
128.642494,35.93142431
128.6455672,35.94136866
128.6375809,35.99202111
128.6960949,35.8705206
128.755657,35.87605361
128.6661684,35.87999927
128.7271413,35.97056804
128.6285245,35.97617601
128.6939621,35.99027916
128.6362261,35.99109459
128.6391703,35.91104099
128.6686955,35.88040735
