x_longitude,y_latitude
128.5386433,35.84130936
128.5180539,35.80819887
128.5215486,35.81279798
128.5220103,35.81288597
128.5537831,35.85599191
128.5481606,35.80943688
128.5276546,35.8183203
128.5126269,35.80872638
128.54082,35.83699206
128.5375165,35.84185971
128.5326778,35.84824511
128.5491053,35.82177221
128.5442356,35.80709053
128.5396981,35.81861898
128.513719,35.81242716
128.5513029,35.85463778
128.5164095,35.8186142
128.5299645,35.79339803
128.5275301,35.81921211
128.5547966,35.84266643
128.5285674,35.81896489
128.5243857,35.8529526
128.5150043,35.81214253
128.533887,35.81697536
128.4901713,35.83867862
128.5543076,35.82463947
128.5100587,35.81452952
128.5345201,35.84162701
128.4895876,35.84108938
128.5278108,35.82204592
128.5260616,35.82309661
128.5265817,35.8105242
128.5406137,35.83699522
128.5204252,35.80846348
128.5561867,35.84145876
128.5490677,35.83483966
128.5238284,35.82413304
128.5256107,35.82267376
128.5285202,35.84735206
128.5051185,35.85299786
128.5368619,35.85208642
128.5558932,35.85292192
128.5299481,35.84155606
128.5466215,35.81307553
128.4906411,35.84077266
128.5493574,35.7951422
128.5373266,35.83806576
128.5390936,35.8410575
128.5472527,35.8122891
128.4930697,35.85628036
128.5464741,35.80874163
128.5193506,35.80827189
128.4878956,35.84260332
128.5522989,35.82188421
128.5089555,35.84972133
128.5219253,35.82258633
128.5588742,35.85650656
128.5314716,35.81728401
128.5358923,35.84824158
128.5593755,35.85785071
128.5461449,35.85421006
128.5522105,35.8217642
128.5366929,35.81887709
128.5454072,35.85411861
128.5239195,35.81959718
128.5467964,35.81316177
128.488983,35.83527312
128.5282319,35.82547065
128.5264163,35.82430891
128.547556,35.83362366
128.5406998,35.8152082
128.547196,35.8155978
128.5313749,35.8565822
128.5537645,35.83837654
128.5255954,35.81970249
128.5211554,35.81274169
128.5078245,35.84944735
128.5358923,35.84824158
128.517782,35.80847157
128.4941871,35.85568671
128.54753,35.81582091
128.4764957,35.85237703
128.5027227,35.85284999
128.551864,35.85528493
128.5378091,35.81016119
128.5375813,35.84746638
128.537365,35.81744576
128.5470276,35.82597152
128.5399422,35.83700772
128.5381983,35.85439641
128.5050042,35.85932472
128.5261646,35.81212747
128.5252999,35.81978299
128.5026584,35.85314188
128.4828593,35.85036042
128.5204553,35.81283708
128.5470554,35.81288852
128.5107533,35.8543689
128.5485695,35.79706794
128.5189847,35.8041783
128.5238592,35.81431841
128.5486412,35.79747062
128.5496187,35.79867382
128.4901925,35.83688506
128.4902065,35.8379337
128.5471665,35.81275995
128.5378363,35.84191919
128.5490732,35.79817754
128.5375905,35.84841
128.5295987,35.79304578
128.5483009,35.79750133
128.5252999,35.81978299
128.5491559,35.79586739
128.489996,35.85594146
128.5601889,35.85853478
128.5068216,35.84954086
128.4906372,35.84139603
128.5289122,35.79898523
128.4902086,35.83760647
128.5456517,35.85489638
128.5496187,35.79867382
128.4899194,35.83847061
128.4890065,35.83975135
128.4897635,35.83921099
128.5371393,35.83266736
128.5501629,35.82967123
128.5169975,35.81044006
128.5223756,35.80818367
128.5365361,35.84227022
128.5483141,35.82765584
128.5302487,35.79326742
128.5214405,35.86016968
128.5276483,35.81447872
128.5485249,35.80782508
128.5268623,35.82266658
128.5236995,35.85353643
128.5495344,35.7956768
128.5483113,35.79722013
128.515007,35.8115769
128.5397127,35.81589559
128.5329942,35.81007849
128.4911524,35.862333
128.5513586,35.83146328
128.5033899,35.85444964
128.5414444,35.84834764
128.525439,35.81249858
128.4897602,35.83691349
128.4907578,35.84159013
128.4878032,35.84279054
128.5365192,35.84136149
128.5212289,35.80707393
128.4897377,35.83869587
128.5499252,35.79898856
128.5403958,35.8369994
128.5274232,35.82118549
128.4895391,35.83921006
128.54316,35.80871659
128.5389926,35.83709863
128.5740331,35.86112704
128.4902096,35.83744349
128.5461842,35.81351896
128.5247473,35.80702883
128.5520562,35.82155481
128.5656092,35.85987608
128.5668372,35.84797535
128.5086776,35.85582335
