x_longitude,y_latitude
128.6039856,35.87583174
128.6280724,35.89125791
128.5472164,35.94488691
128.5660122,35.95356854
128.607584,35.88155966
128.6088414,35.90460255
128.5445395,35.92551767
128.5990942,35.92250041
128.6038077,35.88256536
128.5445395,35.92551767
128.5597405,35.94221336
128.5694525,35.94091954
128.5674067,35.94910607
128.5536268,35.9530274
128.5710417,35.9420456
128.6108268,35.89449154
128.5762785,35.88874443
128.590209,35.89236202
128.5791515,35.89862688
128.5448903,35.89730684
128.5940879,35.88360747
128.5902775,35.8921945
128.5706553,35.94169039
128.5920371,35.8885607
128.5462768,35.91959251
128.5860962,35.88440264
128.6039289,35.88787338
128.5878461,35.88520061
128.5533656,35.93809576
128.6092158,35.90459327
128.5834172,35.88323269
128.5829075,35.88962777
128.6046089,35.90570434
128.607584,35.88155966
128.6066507,35.87811028
128.6034544,35.89201633
128.6062976,35.89725464
128.5672101,35.93667052
128.5668046,35.93604314
128.5480643,35.91215471
128.6126791,35.90508848
128.6057047,35.93698229
128.6132643,35.89619091
128.6040711,35.87598728
128.6077475,35.89166131
128.5692652,35.93902142
128.574661,35.89029309
128.5703272,35.9413859
128.5464628,35.92543806
128.5553448,35.94407899
128.6086566,35.89245224
128.6039966,35.87577491
128.5904337,35.88225644
128.5645349,35.94323154
128.6036249,35.88826443
128.5818387,35.88074937
128.5840351,35.88393138
128.5841284,35.88402965
128.5747177,35.89605772
128.5553522,35.94328004
128.559817,35.94243169
128.5693927,35.93936217
128.5565086,35.93202468
128.5475908,35.91260236
128.5714134,35.94430167
128.6081293,35.88232928
128.5961837,35.91782435
128.5964516,35.9194833
128.5449001,35.92356943
128.6035494,35.88788934
128.5749027,35.94902783
128.6125235,35.90431083
128.5830191,35.88918133
128.5827004,35.88791991
128.6040188,35.93866648
128.5624257,35.94285434
128.6092896,35.89244075
128.5703176,35.94006362
128.5807405,35.88847125
128.5800235,35.8888515
128.5821532,35.88340149
128.604451,35.90541405
128.6122651,35.90490715
128.6122651,35.90490715
128.6093112,35.90445632
128.6086596,35.90451859
128.6090359,35.90430735
128.604874,35.90602758
128.612664,35.90493358
128.608937,35.90446542
128.6087457,35.90473985
