x_longitude,y_latitude
128.5867659,35.84412044
128.6057881,35.85481254
128.5559907,35.83463993
128.5822392,35.85155431
128.5898223,35.85655628
128.6033146,35.84784777
128.5622563,35.84338694
128.5883093,35.85635996
128.6036926,35.84077542
128.5911755,35.84597117
128.5706909,35.83184973
128.5745608,35.85683583
128.576018,35.83835488
128.6001268,35.84109088
128.5750622,35.83462139
128.5901971,35.85484782
128.5796135,35.83945067
128.5934014,35.84272924
128.5657866,35.83307555
128.5725319,35.84219309
128.5897821,35.85525482
128.5740681,35.83000841
128.58056,35.83542888
128.5948764,35.8425883
128.5794025,35.83493448
128.5875679,35.85652156
128.5776658,35.83356354
128.5728512,35.83111402
128.5748405,35.85942679
128.5946463,35.84299608
128.6039653,35.83023471
128.5975838,35.8418606
128.5856882,35.84519656
128.5902143,35.8423799
128.5797514,35.85374411
128.576018,35.83835488
128.6008978,35.84688405
128.6050587,35.8344392
128.5887638,35.85603627
128.5750163,35.84053234
128.5690261,35.83227245
128.5914398,35.84782036
128.5899291,35.84646971
128.5731582,35.8308987
128.5737617,35.83539129
128.5890646,35.85618082
128.5684907,35.83230482
128.5736026,35.83111376
